Species,Nb,Loci Count,Individual Count,P Value,Cycles,Decline,Power Value,Power Percent
bullT,100,200,25,0.05,5,15,133,0.133
bullT,100,200,25,0.15,5,15,327,0.327
bullT,100,200,25,0.1,5,15,235,0.235
bullT,100,200,25,0.05,7,15,391,0.391
bullT,100,200,25,0.15,7,15,682,0.682
bullT,100,200,25,0.1,7,15,578,0.578
bullT,100,200,50,0.05,10,15,1000,1.0
bullT,100,200,50,0.15,10,15,1000,1.0
bullT,100,200,50,0.1,10,15,1000,1.0
bullT,100,200,50,0.05,5,15,328,0.328
bullT,100,200,50,0.15,5,15,644,0.644
bullT,100,200,50,0.1,5,15,509,0.509
bullT,100,200,50,0.05,7,15,904,0.904
bullT,100,200,50,0.15,7,15,986,0.986
bullT,100,200,50,0.1,7,15,970,0.97
bullT,100,200,100,0.05,10,5,872,0.872
bullT,100,200,100,0.15,10,5,959,0.959
bullT,100,200,100,0.1,10,5,937,0.937
bullT,100,200,100,0.05,5,5,127,0.127
bullT,100,200,100,0.15,5,5,321,0.321
bullT,100,200,100,0.1,5,5,242,0.242
bullT,100,200,100,0.05,7,5,360,0.36
bullT,100,200,100,0.15,7,5,631,0.631
bullT,100,200,100,0.1,7,5,526,0.526
bullT,100,200,25,0.05,10,5,158,0.158
bullT,100,200,25,0.15,10,5,337,0.337
bullT,100,200,25,0.1,10,5,263,0.263
bullT,100,200,25,0.05,5,5,31,0.031
bullT,100,200,25,0.15,5,5,125,0.125
bullT,100,200,25,0.1,5,5,86,0.086
bullT,100,200,25,0.05,7,5,53,0.053
bullT,100,200,25,0.15,7,5,185,0.185
bullT,100,200,25,0.1,7,5,125,0.125
bullT,100,200,50,0.05,10,5,480,0.48
bullT,100,200,50,0.15,10,5,697,0.697
bullT,100,200,50,0.1,10,5,619,0.619
bullT,100,200,50,0.05,5,5,67,0.067
bullT,100,200,50,0.15,5,5,183,0.183
bullT,100,200,50,0.1,5,5,128,0.128
bullT,100,200,50,0.05,7,5,168,0.168
bullT,100,200,50,0.15,7,5,363,0.363
bullT,100,200,50,0.1,7,5,279,0.279
bullT,100,200,100,0.05,10,7,993,0.993
bullT,100,200,100,0.15,10,7,1000,1.0
bullT,100,200,100,0.1,10,7,999,0.999
bullT,100,200,100,0.05,5,7,224,0.224
bullT,100,200,100,0.15,5,7,466,0.466
bullT,100,200,100,0.1,5,7,359,0.359
bullT,100,200,100,0.05,7,7,619,0.619
bullT,100,200,100,0.15,7,7,852,0.852
bullT,100,200,100,0.1,7,7,771,0.771
bullT,100,200,25,0.05,10,7,257,0.257
bullT,100,200,25,0.15,10,7,521,0.521
bullT,100,200,25,0.1,10,7,410,0.41
bullT,100,200,25,0.05,5,7,31,0.031
bullT,100,200,25,0.15,5,7,140,0.14
bullT,100,200,25,0.1,5,7,87,0.087
bullT,100,200,25,0.05,7,7,97,0.097
bullT,100,200,25,0.15,7,7,274,0.274
bullT,100,200,25,0.1,7,7,190,0.19
bullT,100,200,50,0.05,10,7,789,0.789
bullT,100,200,50,0.15,10,7,924,0.924
bullT,100,200,50,0.1,10,7,881,0.881
bullT,100,200,50,0.05,5,7,112,0.112
bullT,100,200,50,0.15,5,7,276,0.276
bullT,100,200,50,0.1,5,7,204,0.204
bullT,100,200,50,0.05,7,7,273,0.273
bullT,100,200,50,0.15,7,7,538,0.538
bullT,100,200,50,0.1,7,7,417,0.417
bullT,100,400,100,0.05,10,0,939,0.939
bullT,100,400,100,0.15,10,0,820,0.82
bullT,100,400,100,0.1,10,0,882,0.882
bullT,100,400,100,0.05,5,0,945,0.945
bullT,100,400,100,0.15,5,0,836,0.836
bullT,100,400,100,0.1,5,0,887,0.887
bullT,100,400,100,0.05,7,0,956,0.956
bullT,100,400,100,0.15,7,0,846,0.846
bullT,100,400,100,0.1,7,0,902,0.902
bullT,100,400,25,0.05,10,0,966,0.966
bullT,100,400,25,0.15,10,0,861,0.861
bullT,100,400,25,0.1,10,0,909,0.909
bullT,100,400,25,0.05,5,0,956,0.956
bullT,100,400,25,0.15,5,0,863,0.863
bullT,100,400,25,0.1,5,0,908,0.908
bullT,100,400,25,0.05,7,0,954,0.954
bullT,100,400,25,0.15,7,0,854,0.854
bullT,100,400,25,0.1,7,0,913,0.913
bullT,100,400,50,0.05,10,0,940,0.94
bullT,100,400,50,0.15,10,0,848,0.848
bullT,100,400,50,0.1,10,0,892,0.892
bullT,100,400,50,0.05,5,0,952,0.952
bullT,100,400,50,0.15,5,0,855,0.855
bullT,100,400,50,0.1,5,0,910,0.91
bullT,100,400,50,0.05,7,0,937,0.937
bullT,100,400,50,0.15,7,0,840,0.84
bullT,100,400,50,0.1,7,0,885,0.885
bullT,100,400,100,0.05,10,10,1000,1.0
bullT,100,400,100,0.15,10,10,1000,1.0
bullT,100,400,100,0.1,10,10,1000,1.0
bullT,100,400,100,0.05,5,10,492,0.492
bullT,100,400,100,0.15,5,10,802,0.802
bullT,100,400,100,0.1,5,10,698,0.698
bullT,100,400,100,0.05,7,10,975,0.975
bullT,100,400,100,0.15,7,10,997,0.997
bullT,100,400,100,0.1,7,10,995,0.995
bullT,100,400,25,0.05,10,10,748,0.748
bullT,100,400,25,0.15,10,10,931,0.931
bullT,100,400,25,0.1,10,10,863,0.863
bullT,100,400,25,0.05,5,10,83,0.083
bullT,100,400,25,0.15,5,10,245,0.245
bullT,100,400,25,0.1,5,10,170,0.17
bullT,100,400,25,0.05,7,10,248,0.248
bullT,100,400,25,0.15,7,10,498,0.498
bullT,100,400,25,0.1,7,10,406,0.406
bullT,100,400,50,0.05,10,10,997,0.997
bullT,100,400,50,0.15,10,10,1000,1.0
bullT,100,400,50,0.1,10,10,1000,1.0
bullT,100,400,50,0.05,5,10,249,0.249
bullT,100,400,50,0.15,5,10,498,0.498
bullT,100,400,50,0.1,5,10,390,0.39
bullT,100,400,50,0.05,7,10,688,0.688
bullT,100,400,50,0.15,7,10,900,0.9
bullT,100,400,50,0.1,7,10,831,0.831
bullT,100,400,100,0.05,10,15,1000,1.0
bullT,100,400,100,0.15,10,15,1000,1.0
bullT,100,400,100,0.1,10,15,1000,1.0
bullT,100,400,100,0.05,5,15,859,0.859
bullT,100,400,100,0.15,5,15,976,0.976
bullT,100,400,100,0.1,5,15,960,0.96
bullT,100,400,100,0.05,7,15,1000,1.0
bullT,100,400,100,0.15,7,15,1000,1.0
bullT,100,400,100,0.1,7,15,1000,1.0
bullT,100,400,25,0.05,10,15,981,0.981
bullT,100,400,25,0.15,10,15,999,0.999
bullT,100,400,25,0.1,10,15,997,0.997
bullT,100,400,25,0.05,5,15,174,0.174
bullT,100,400,25,0.15,5,15,440,0.44
bullT,100,400,25,0.1,5,15,308,0.308
bullT,100,400,25,0.05,7,15,585,0.585
bullT,100,400,25,0.15,7,15,834,0.834
bullT,100,400,25,0.1,7,15,752,0.752
bullT,100,400,50,0.05,10,15,1000,1.0
bullT,100,400,50,0.15,10,15,1000,1.0
bullT,100,400,50,0.1,10,15,1000,1.0
bullT,100,400,50,0.05,5,15,455,0.455
bullT,100,400,50,0.15,5,15,776,0.776
bullT,100,400,50,0.1,5,15,672,0.672
bullT,100,400,50,0.05,7,15,952,0.952
bullT,100,400,50,0.15,7,15,995,0.995
bullT,100,400,50,0.1,7,15,989,0.989
bullT,100,400,100,0.05,10,5,952,0.952
bullT,100,400,100,0.15,10,5,994,0.994
bullT,100,400,100,0.1,10,5,984,0.984
bullT,100,400,100,0.05,5,5,179,0.179
bullT,100,400,100,0.15,5,5,402,0.402
bullT,100,400,100,0.1,5,5,296,0.296
bullT,100,400,100,0.05,7,5,503,0.503
bullT,100,400,100,0.15,7,5,787,0.787
